"Name","Job Type","max_tfidf_features","max_features","mae","r2"
"elated-durian-44","train_random_forest","30","0.33","31.899746277880148","0.594355758950539"
"logical-brook-39","test_model","","","33.28832112724478","0.5808443932463209"
"floral-deluge-20","train_random_forest","30","0.33","33.8041660214768","0.5653887296334597"
"whole-shape-35","train_random_forest","30","0.33","33.8041660214768","0.5653887296334597"
"apricot-morning-10","train_random_forest","10","0.33","33.86616590934521","0.5639304544583006"
"sunny-wood-25","train_random_forest","10","0.33","33.86616590934521","0.5639304544583006"
"atomic-shadow-30","train_random_forest","15","0.33","33.92201912711846","0.5632075357871014"
"firm-wood-15","train_random_forest","15","0.33","33.92201912711846","0.5632075357871014"
"peach-sun-36","train_random_forest","30","0.5","33.89564515159733","0.5613192898982644"
"legendary-wave-21","train_random_forest","30","0.5","33.89564515159733","0.5613192898982643"
"expert-sponge-16","train_random_forest","15","0.5","33.97514426058321","0.5609095590074168"
"icy-waterfall-31","train_random_forest","15","0.5","33.97514426058321","0.5609095590074167"
"northern-water-26","train_random_forest","10","0.5","33.935399754312904","0.5598436262804234"
"morning-resonance-11","train_random_forest","10","0.5","33.9353997543129","0.5598436262804234"
"laced-aardvark-37","train_random_forest","30","0.75","33.90987736601595","0.5586503860039699"
"worthy-hill-22","train_random_forest","30","0.75","33.90987736601595","0.5586503860039699"
"efficient-sponge-32","train_random_forest","15","0.75","34.00402427901734","0.5582232940477667"
"icy-firefly-17","train_random_forest","15","0.75","34.00402427901734","0.5582232940477666"
"honest-terrain-12","train_random_forest","10","0.75","34.057625740272094","0.5570384005635399"
"robust-terrain-27","train_random_forest","10","0.75","34.057625740272094","0.5570384005635398"
"rosy-resonance-8","train_random_forest","5","0.5","34.12760059704365","0.5519152667668663"
"fanciful-firebrand-34","train_random_forest","30","0.1","36.04241363084749","0.5241031195736254"
"earnest-waterfall-19","train_random_forest","30","0.1","36.04241363084749","0.5241031195736254"
"treasured-gorge-24","train_random_forest","10","0.1","36.27732406550585","0.5207070287815305"
"zesty-microwave-9","train_random_forest","10","0.1","36.27732406550586","0.5207070287815305"
"fiery-meadow-14","train_random_forest","15","0.1","37.115475089767166","0.5054298152665545"
"wise-elevator-29","train_random_forest","15","0.1","37.115475089767166","0.5054298152665545"
"twilight-leaf-28","train_random_forest","10","1","39.22367178136127","0.4652521755165643"
"chocolate-brook-13","train_random_forest","10","1","39.22367178136127","0.4652521755165643"
"flowing-moon-18","train_random_forest","15","1","40.348737664823055","0.4405720848737581"
"twilight-sponge-33","train_random_forest","15","1","40.348737664823055","0.4405720848737581"
"clean-wood-38","train_random_forest","30","1","44.49952010346622","0.3519278922941981"
"glad-lake-23","train_random_forest","30","1","44.49952010346621","0.3519278922941981"
"fragrant-butterfly-42","data_tests","","","",""
"solar-sunset-6","data_tests","","","",""
"visionary-pine-40","download_file","","","",""
"stellar-microwave-43","train_val_test_split","","","",""
"eager-breeze-7","train_val_test_split","","","",""
"golden-galaxy-3","","","","",""
"dainty-gorge-2","download_file","","","",""
"dauntless-cherry-41","basic_cleaning","","","",""
"glamorous-frog-1","download_file","","","",""
"desert-jazz-5","basic_cleaning","","","",""
"true-flower-4","download_file","","","",""
